Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 10629
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 2121
Not Found: /gg
"GET /gg HTTP/1.1" 404 2094
D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\Growbinar_Backend\settings.py changed, reloading.
INFO 2024-04-25 23:17:04,702 django.utils.autoreload autoreload autoreload.py 668 run_with_reloader Watching for file changes with StatReloader
WARNING 2024-04-25 23:17:14,246 django.request log log.py 241 log_response Not Found: /gg
WARNING 2024-04-25 23:17:14,246 django.server basehttp basehttp.py 212 log_message "GET /gg HTTP/1.1" 404 2094
WARNING 2024-04-25 23:17:15,771 django.request log log.py 241 log_response Not Found: /gg
WARNING 2024-04-25 23:17:15,772 django.server basehttp basehttp.py 212 log_message "GET /gg HTTP/1.1" 404 2094
INFO 2024-04-25 23:18:05,088 django.server basehttp basehttp.py 212 log_message "GET / HTTP/1.1" 200 10629
INFO 2024-04-25 23:20:09,222 django.utils.autoreload autoreload autoreload.py 266 trigger_reload D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\Growbinar_Backend\settings.py changed, reloading.
INFO 2024-04-25 23:20:25,995 django.utils.autoreload autoreload autoreload.py 668 run_with_reloader Watching for file changes with StatReloader
INFO 2024-04-25 23:20:35,813 django.utils.autoreload autoreload autoreload.py 266 trigger_reload D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\Growbinar_Backend\settings.py changed, reloading.
INFO 2024-04-25 23:22:25,533 django.utils.autoreload autoreload autoreload.py 668 run_with_reloader Watching for file changes with StatReloader
DEBUG 2024-04-25 23:22:25,536 django.utils.autoreload autoreload autoreload.py 330 run Waiting for apps ready_event.
DEBUG 2024-04-25 23:22:25,540 django.utils.autoreload autoreload autoreload.py 342 run Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-04-25 23:22:25,605 django.utils.autoreload autoreload autoreload.py 296 watch_dir Watching dir D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-04-25 23:22:25,639 django.db.backends utils utils.py 151 debug_sql (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-04-25 23:22:25,684 django.utils.autoreload autoreload autoreload.py 296 watch_dir Watching dir D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\locale with glob **/*.mo.
DEBUG 2024-04-25 23:22:25,686 django.utils.autoreload autoreload autoreload.py 296 watch_dir Watching dir D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-04-25 23:22:25,686 django.utils.autoreload autoreload autoreload.py 296 watch_dir Watching dir D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-04-25 23:22:25,686 django.utils.autoreload autoreload autoreload.py 296 watch_dir Watching dir D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-04-25 23:22:25,688 django.db.backends utils utils.py 151 debug_sql (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-04-25 23:22:25,838 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\utils.py first seen with mtime 1713712047.704585
DEBUG 2024-04-25 23:22:25,838 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1713712047.396245
DEBUG 2024-04-25 23:22:25,839 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\textwrap.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,839 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\inspect.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,839 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1713712045.580564
DEBUG 2024-04-25 23:22:25,839 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\sessions\migrations\__init__.py first seen with mtime 1713712047.0704944
DEBUG 2024-04-25 23:22:25,839 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\forms\renderers.py first seen with mtime 1713712047.4761987
DEBUG 2024-04-25 23:22:25,840 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\email\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,840 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\email\header.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,840 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1713712054.0376315
DEBUG 2024-04-25 23:22:25,840 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1713712043.7419531
DEBUG 2024-04-25 23:22:25,840 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1713712047.3522973
DEBUG 2024-04-25 23:22:25,840 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1713712047.8190596
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\utils\functional.py first seen with mtime 1713712047.769875
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1713712047.704585
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1713712047.3413239
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\xml\dom\NodeFilter.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\forms\__init__.py first seen with mtime 1713712047.472605
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\tempfile.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\xml\dom\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\asyncio\subprocess.py first seen with mtime 1675769062.0
